名称,位置,建面,销售状态,类型,价格
北城新天地,西高路与桑军大道交汇大转盘西南角,建面 92m²,在售,普通住宅,3900
九如居,泾渭四路51号,建面 136m²,在售,普通住宅,3700
泾渭分明生态半岛,长庆东路东段路南（水岸花城附近）,建面 83~138m²,在售,普通住宅,4600
暻秀天下,泾渭中路19号（马家湾十字向南200米）,建面 67~97m²,在售,普通住宅,3600
维也纳森林,高陵泾河工业园昭慧广场旁50米,建面 85~166m²,在售,别墅,100
秀水蓝天,泾河工业园泾渭五路南段,建面 67~91m²,在售,普通住宅,3750
天湖名郡,长庆东路与泾渭八路交汇处向南200米,建面 93~118m²,在售,普通住宅,3800
维也纳森林,高陵泾河工业园昭慧广场旁50米,建面 79~166m²,在售,普通住宅,3200
